instance,n,M,mode,status,obj,bound,gap_pct,time_s,nodes,nvars,nconstr,fam,TF,RDD,solved,timeout,t,nontrivial
ht2_1-30_0.3_0.6_1,30,4,mix,OPTIMAL,0.0,0.0,0.0,3.83,1,4140,7859,ht2,0.3,0.6,True,False,3.83,False
ht2_1-30_0.6_0.3_3,30,2,pbatch,OPTIMAL,0.0,0.0,0.0,0.09,0,2160,3959,ht2,0.6,0.3,True,False,0.09,False
ht2_1-30_0.6_0.3_3,30,2,mix,TIME_LIMIT,68.5123,0.0,100.0,3600.43,1136016,2100,3959,ht2,0.6,0.3,False,True,3600.0,True
ht2_1-30_0.6_0.3_3,30,3,pbatch,OPTIMAL,0.0,0.0,0.0,0.15,0,3210,5909,ht2,0.6,0.3,True,False,0.15,False
ht2_1-30_0.6_0.3_3,30,3,mix,TIME_LIMIT,9.3731,0.0,100.0,3600.39,796756,3120,5909,ht2,0.6,0.3,False,True,3600.0,True
ht2_1-30_0.6_0.3_3,30,4,pbatch,OPTIMAL,0.0,0.0,0.0,0.19,0,4260,7859,ht2,0.6,0.3,True,False,0.19,False
ht2_1-30_0.6_0.3_3,30,4,mix,OPTIMAL,0.0,0.0,0.0,14.5,1003,4140,7859,ht2,0.6,0.3,True,False,14.5,False
ht2_1-30_0.6_0.6_3,30,2,pbatch,OPTIMAL,0.0,0.0,0.0,0.16,1,2160,3959,ht2,0.6,0.6,True,False,0.16,False
ht2_1-30_0.6_0.6_3,30,2,mix,TIME_LIMIT,74.231,1.9448,97.38,3600.29,1190090,2100,3959,ht2,0.6,0.6,False,True,3600.0,True
ht2_1-30_0.6_0.6_3,30,3,pbatch,OPTIMAL,0.0,0.0,0.0,2.12,1,3210,5909,ht2,0.6,0.6,True,False,2.12,False
ht2_1-30_0.6_0.6_3,30,3,mix,TIME_LIMIT,7.8069,0.1042,98.67,3600.1,734044,3120,5909,ht2,0.6,0.6,False,True,3600.0,True
ht2_1-30_0.6_0.6_3,30,4,pbatch,OPTIMAL,0.0,0.0,0.0,1.07,1,4260,7859,ht2,0.6,0.6,True,False,1.07,False
ht2_1-30_0.6_0.6_3,30,4,mix,OPTIMAL,0.0,0.0,0.0,9.68,1,4140,7859,ht2,0.6,0.6,True,False,9.68,False
ht2_1-50_0.3_0.3_1,50,2,pbatch,OPTIMAL,0.0,0.0,0.0,0.29,0,5600,10599,ht2,0.3,0.3,True,False,0.29,False
ht2_1-50_0.3_0.3_1,50,2,mix,TIME_LIMIT,3.8194,0.0,100.0,3606.36,140328,5500,10599,ht2,0.3,0.3,False,True,3600.0,True
ht2_1-50_0.3_0.3_1,50,3,pbatch,OPTIMAL,0.0,0.0,0.0,0.47,0,8350,15849,ht2,0.3,0.3,True,False,0.47,False
ht2_1-50_0.3_0.3_1,50,3,mix,OPTIMAL,0.0,0.0,0.0,21.92,1,8200,15849,ht2,0.3,0.3,True,False,21.92,False
ht2_1-50_0.3_0.3_1,50,4,pbatch,OPTIMAL,0.0,0.0,0.0,0.59,0,11100,21099,ht2,0.3,0.3,True,False,0.59,False
ht2_1-50_0.3_0.3_1,50,4,mix,OPTIMAL,0.0,0.0,0.0,13.84,1,10900,21099,ht2,0.3,0.3,True,False,13.84,False
ht2_1-50_0.3_0.6_1,50,2,pbatch,OPTIMAL,0.0,0.0,0.0,0.27,0,5600,10599,ht2,0.3,0.6,True,False,0.27,False
ht2_1-50_0.3_0.6_1,50,2,mix,OPTIMAL,0.0,0.0,0.0,228.49,10292,5500,10599,ht2,0.3,0.6,True,False,228.49,False
ht2_1-50_0.3_0.6_1,50,3,pbatch,OPTIMAL,0.0,0.0,0.0,0.45,0,8350,15849,ht2,0.3,0.6,True,False,0.45,False
ht2_1-50_0.3_0.6_1,50,3,mix,OPTIMAL,0.0,0.0,0.0,30.62,70,8200,15849,ht2,0.3,0.6,True,False,30.62,False
ht2_1-50_0.3_0.6_1,50,4,pbatch,OPTIMAL,0.0,0.0,0.0,0.58,0,11100,21099,ht2,0.3,0.6,True,False,0.58,False
ht2_1-50_0.3_0.6_1,50,4,mix,OPTIMAL,0.0,0.0,0.0,8.76,1,10900,21099,ht2,0.3,0.6,True,False,8.76,False
ht2_1-50_0.6_0.3_3,50,2,pbatch,OPTIMAL,0.0,0.0,0.0,0.27,0,5600,10599,ht2,0.6,0.3,True,False,0.27,False
ht2_1-50_0.6_0.3_3,50,2,mix,TIME_LIMIT,226.0271,0.0,100.0,3600.51,425208,5500,10599,ht2,0.6,0.3,False,True,3600.0,True
ht2_1-50_0.6_0.3_3,50,3,pbatch,OPTIMAL,0.0,0.0,0.0,1.25,1,8350,15849,ht2,0.6,0.3,True,False,1.25,False
ht2_1-50_0.6_0.3_3,50,3,mix,TIME_LIMIT,34.2393,0.0,100.0,3606.69,156947,8200,15849,ht2,0.6,0.3,False,True,3600.0,True
ht2_1-50_0.6_0.3_3,50,4,pbatch,OPTIMAL,0.0,0.0,0.0,0.98,1,11100,21099,ht2,0.6,0.3,True,False,0.98,False
ht2_1-50_0.6_0.3_3,50,4,mix,OPTIMAL,0.0,0.0,0.0,166.98,3949,10900,21099,ht2,0.6,0.3,True,False,166.98,False
ht2_1-50_0.6_0.6_3,50,2,pbatch,OPTIMAL,0.0,0.0,0.0,0.92,1,5600,10599,ht2,0.6,0.6,True,False,0.92,False
ht2_1-50_0.6_0.6_3,50,2,mix,TIME_LIMIT,259.8695,0.0,100.0,3600.4,408815,5500,10599,ht2,0.6,0.6,False,True,3600.0,True
ht2_1-50_0.6_0.6_3,50,3,pbatch,OPTIMAL,0.0,0.0,0.0,0.92,1,8350,15849,ht2,0.6,0.6,True,False,0.92,False
ht2_1-50_0.6_0.6_3,50,3,mix,TIME_LIMIT,16.7141,0.0,100.0,3600.23,129889,8200,15849,ht2,0.6,0.6,False,True,3600.0,True
ht2_1-50_0.6_0.6_3,50,4,pbatch,OPTIMAL,0.0,0.0,0.0,0.98,1,11100,21099,ht2,0.6,0.6,True,False,0.98,False
ht2_1-50_0.6_0.6_3,50,4,mix,OPTIMAL,0.0,0.0,0.0,191.4,2846,10900,21099,ht2,0.6,0.6,True,False,191.4,False
